Disease,Sym
Osteoarthristis, swelling_joints painful_walking joint_pain
Arthritis, movement_stiffness muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, headache loss_of_balance unsteadiness
Acne, blackheads
Urinary tract infection, foul_smell_ofurine
Psoriasis, skin_peeling joint_pain inflammatory_nails
Impetigo, skin_rash blister
Fungal infection, itching
Allergy, chills
GERD, chest_pain stomach_pain cough
Chronic cholestasis, loss_of_appetite vomiting nausea yellowish_skin
Drug Reaction, stomach_pain itching
Peptic ulcer diseae, passage_of_gases vomiting abdominal_pain
AIDS, high_fever
Diabetes , restlessness blurred_and_distorted_vision fatigue irregular_sugar_level weight_loss polyuria obesity
Gastroenteritis, diarrhoea
Bronchial Asthma, mucoid_sputum fatigue breathlessness
Hypertension , loss_of_balance chest_pain
Migraine, headache acidity depression blurred_and_distorted_vision visual_disturbances indigestion
Cervical spondylosis, dizziness weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, weight_loss yellowish_skin itching dark_urine vomiting
Malaria, sweating high_fever vomiting muscle_pain diarrhoea
Chicken pox, red_spots_over_body malaise high_fever loss_of_appetite mild_fever itching lethargy fatigue
Dengue, vomiting malaise high_fever red_spots_over_body chills back_pain muscle_pain loss_of_appetite nausea fatigue skin_rash
Typhoid, diarrhoea abdominal_pain vomiting fatigue chills belly_pain high_fever toxic_look_(typhos)
hepatitis A, mild_fever yellowish_skin loss_of_appetite diarrhoea muscle_pain abdominal_pain joint_pain yellowing_of_eyes
Hepatitis B, abdominal_pain receiving_unsterile_injections dark_urine yellow_urine yellowing_of_eyes itching loss_of_appetite fatigue malaise
Hepatitis C, family_history fatigue yellowish_skin
Hepatitis D, fatigue nausea yellowing_of_eyes loss_of_appetite yellowish_skin abdominal_pain
Hepatitis E, coma yellowing_of_eyes high_fever dark_urine joint_pain abdominal_pain fatigue yellowish_skin nausea acute_liver_failure
Alcoholic hepatitis, distention_of_abdomen history_of_alcohol_consumption vomiting fluid_overload
Tuberculosis, chills sweating cough loss_of_appetite high_fever mild_fever malaise yellowing_of_eyes fatigue vomiting blood_in_sputum swelled_lymph_nodes weight_loss
Common Cold, continuous_sneezing runny_nose malaise throat_irritation loss_of_smell redness_of_eyes cough high_fever congestion headache phlegm swelled_lymph_nodes muscle_pain sinus_pressure
Pneumonia, sweating high_fever fast_heart_rate cough chest_pain breathlessness malaise phlegm
Dimorphic hemmorhoids(piles), constipation bloody_stool
Heart attack, breathlessness
Varicose veins, cramps fatigue obesity bruising
Hypothyroidism, dizziness lethargy enlarged_thyroid puffy_face_and_eyes weight_gain mood_swings irritability brittle_nails depression cold_hands_and_feets
Hyperthyroidism, mood_swings excessive_hunger weight_loss abnormal_menstruation fatigue muscle_weakness restlessness fast_heart_rate
Hypoglycemia, anxiety nausea slurred_speech palpitations irritability blurred_and_distorted_vision vomiting drying_and_tingling_lips sweating
Osteoarthristis, knee_pain neck_pain swelling_joints
Arthritis, movement_stiffness muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance vomiting headache
Acne, pus_filled_pimples
Urinary tract infection, bladder_discomfort
Psoriasis, skin_rash silver_like_dusting inflammatory_nails
Impetigo, blister skin_rash
Fungal infection, itching
Allergy, chills
GERD, stomach_pain ulcers_on_tongue acidity
Chronic cholestasis, nausea vomiting yellowish_skin itching
Drug Reaction, stomach_pain burning_micturition
Peptic ulcer diseae, passage_of_gases vomiting internal_itching
AIDS, extra_marital_contacts
Diabetes , increased_appetite fatigue weight_loss lethargy excessive_hunger polyuria blurred_and_distorted_vision
Gastroenteritis, dehydration
Bronchial Asthma, fatigue mucoid_sputum high_fever
Hypertension , chest_pain headache
Migraine, visual_disturbances indigestion excessive_hunger blurred_and_distorted_vision depression irritability
Cervical spondylosis, dizziness weakness_in_limbs
Paralysis (brain hemorrhage), headache
Jaundice, weight_loss fatigue dark_urine yellowish_skin vomiting
Malaria, sweating headache muscle_pain nausea high_fever
Chicken pox, loss_of_appetite headache lethargy red_spots_over_body high_fever skin_rash fatigue malaise
Dengue, back_pain joint_pain pain_behind_the_eyes headache skin_rash nausea malaise red_spots_over_body loss_of_appetite high_fever vomiting
Typhoid, chills belly_pain fatigue constipation nausea diarrhoea headache toxic_look_(typhos)
hepatitis A, loss_of_appetite joint_pain dark_urine diarrhoea mild_fever yellowish_skin yellowing_of_eyes abdominal_pain
Hepatitis B, receiving_unsterile_injections yellowing_of_eyes malaise abdominal_pain itching loss_of_appetite yellow_urine fatigue receiving_blood_transfusion
Hepatitis C, yellowing_of_eyes yellowish_skin nausea
Hepatitis D, joint_pain dark_urine yellowing_of_eyes loss_of_appetite nausea vomiting
Hepatitis E, fatigue joint_pain nausea high_fever loss_of_appetite yellowish_skin vomiting abdominal_pain stomach_bleeding coma
Alcoholic hepatitis, vomiting fluid_overload yellowish_skin distention_of_abdomen
Tuberculosis, fatigue cough yellowing_of_eyes vomiting sweating high_fever swelled_lymph_nodes weight_loss chest_pain malaise blood_in_sputum loss_of_appetite phlegm
Common Cold, muscle_pain swelled_lymph_nodes redness_of_eyes sinus_pressure chills throat_irritation congestion chest_pain continuous_sneezing headache cough loss_of_smell phlegm runny_nose
Pneumonia, malaise cough chills sweating rusty_sputum high_fever fatigue phlegm
Dimorphic hemmorhoids(piles), bloody_stool pain_in_anal_region
Heart attack, vomiting
Varicose veins, obesity swollen_legs bruising prominent_veins_on_calf
Hypothyroidism, dizziness cold_hands_and_feets weight_gain puffy_face_and_eyes swollen_extremeties mood_swings fatigue lethargy abnormal_menstruation depression
Hyperthyroidism, irritability diarrhoea muscle_weakness excessive_hunger sweating restlessness fatigue weight_loss
Hypoglycemia, anxiety blurred_and_distorted_vision excessive_hunger fatigue slurred_speech vomiting drying_and_tingling_lips irritability nausea
Osteoarthristis, knee_pain painful_walking swelling_joints
Arthritis, muscle_weakness movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, spinning_movements unsteadiness vomiting
Acne, blackheads
Urinary tract infection, burning_micturition
Psoriasis, joint_pain skin_peeling skin_rash
Impetigo, high_fever yellow_crust_ooze
Fungal infection, skin_rash
Allergy, chills
GERD, acidity ulcers_on_tongue stomach_pain
Chronic cholestasis, loss_of_appetite nausea itching vomiting
Drug Reaction, skin_rash itching
Peptic ulcer diseae, indigestion vomiting loss_of_appetite
AIDS, muscle_wasting
Diabetes , fatigue weight_loss obesity blurred_and_distorted_vision irregular_sugar_level restlessness excessive_hunger
Gastroenteritis, diarrhoea
Bronchial Asthma, mucoid_sputum cough family_history
Hypertension , chest_pain loss_of_balance
Migraine, blurred_and_distorted_vision headache visual_disturbances indigestion stiff_neck excessive_hunger
Cervical spondylosis, back_pain neck_pain
Paralysis (brain hemorrhage), vomiting
Jaundice, abdominal_pain high_fever dark_urine itching fatigue
Malaria, nausea diarrhoea high_fever headache vomiting
Chicken pox, itching fatigue mild_fever lethargy malaise loss_of_appetite red_spots_over_body swelled_lymph_nodes
Dengue, high_fever headache muscle_pain chills nausea malaise red_spots_over_body skin_rash pain_behind_the_eyes fatigue loss_of_appetite
Typhoid, nausea belly_pain toxic_look_(typhos) abdominal_pain diarrhoea vomiting chills fatigue
hepatitis A, loss_of_appetite dark_urine diarrhoea yellowing_of_eyes joint_pain nausea yellowish_skin muscle_pain
Hepatitis B, itching dark_urine fatigue yellow_urine malaise lethargy loss_of_appetite yellowing_of_eyes yellowish_skin
Hepatitis C, yellowish_skin loss_of_appetite nausea
Hepatitis D, fatigue abdominal_pain joint_pain yellowing_of_eyes dark_urine nausea
Hepatitis E, dark_urine coma stomach_bleeding nausea loss_of_appetite vomiting high_fever yellowing_of_eyes yellowish_skin fatigue
Alcoholic hepatitis, fluid_overload distention_of_abdomen vomiting swelling_of_stomach
Tuberculosis, phlegm loss_of_appetite weight_loss cough chest_pain chills fatigue breathlessness vomiting malaise swelled_lymph_nodes mild_fever yellowing_of_eyes
Common Cold, phlegm chills congestion cough runny_nose malaise chest_pain sinus_pressure headache redness_of_eyes continuous_sneezing fatigue throat_irritation swelled_lymph_nodes
Pneumonia, malaise phlegm fast_heart_rate chest_pain rusty_sputum high_fever sweating cough
Dimorphic hemmorhoids(piles), irritation_in_anus bloody_stool
Heart attack, breathlessness
Varicose veins, obesity cramps swollen_blood_vessels fatigue
Hypothyroidism, brittle_nails dizziness abnormal_menstruation enlarged_thyroid depression mood_swings weight_gain lethargy puffy_face_and_eyes swollen_extremeties
Hyperthyroidism, excessive_hunger weight_loss mood_swings irritability restlessness diarrhoea fatigue abnormal_menstruation
Hypoglycemia, blurred_and_distorted_vision headache palpitations vomiting anxiety nausea fatigue sweating slurred_speech
Osteoarthristis, neck_pain joint_pain painful_walking
Arthritis, swelling_joints painful_walking
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance vomiting nausea
Acne, scurring
Urinary tract infection, bladder_discomfort
Psoriasis, small_dents_in_nails silver_like_dusting joint_pain
Impetigo, blister yellow_crust_ooze
Fungal infection, skin_rash
Allergy, chills
GERD, stomach_pain cough vomiting
Chronic cholestasis, yellowish_skin itching loss_of_appetite nausea
Drug Reaction, spotting_urination stomach_pain
Peptic ulcer diseae, loss_of_appetite passage_of_gases internal_itching
AIDS, extra_marital_contacts
Diabetes , increased_appetite obesity fatigue weight_loss irregular_sugar_level blurred_and_distorted_vision restlessness
Gastroenteritis, sunken_eyes
Bronchial Asthma, mucoid_sputum high_fever family_history
Hypertension , loss_of_balance lack_of_concentration
Migraine, headache irritability blurred_and_distorted_vision depression visual_disturbances excessive_hunger
Cervical spondylosis, dizziness back_pain
Paralysis (brain hemorrhage), headache
Jaundice, fatigue high_fever weight_loss vomiting dark_urine
Malaria, vomiting chills high_fever sweating nausea
Chicken pox, headache skin_rash itching lethargy loss_of_appetite red_spots_over_body fatigue mild_fever
Dengue, nausea loss_of_appetite red_spots_over_body skin_rash vomiting pain_behind_the_eyes headache malaise muscle_pain chills joint_pain
Typhoid, fatigue toxic_look_(typhos) high_fever vomiting chills constipation abdominal_pain nausea
hepatitis A, abdominal_pain muscle_pain nausea mild_fever loss_of_appetite joint_pain yellowish_skin vomiting
Hepatitis B, lethargy malaise yellowish_skin abdominal_pain receiving_unsterile_injections yellowing_of_eyes dark_urine fatigue receiving_blood_transfusion
Hepatitis C, family_history loss_of_appetite yellowing_of_eyes
Hepatitis D, yellowing_of_eyes dark_urine abdominal_pain yellowish_skin joint_pain nausea
Hepatitis E, vomiting dark_urine fatigue loss_of_appetite joint_pain yellowish_skin stomach_bleeding acute_liver_failure abdominal_pain high_fever
Alcoholic hepatitis, swelling_of_stomach distention_of_abdomen history_of_alcohol_consumption vomiting
Tuberculosis, sweating chest_pain vomiting weight_loss malaise loss_of_appetite mild_fever phlegm yellowing_of_eyes swelled_lymph_nodes cough chills breathlessness
Common Cold, sinus_pressure high_fever continuous_sneezing runny_nose headache cough redness_of_eyes chills congestion phlegm chest_pain loss_of_smell swelled_lymph_nodes fatigue
Pneumonia, fast_heart_rate breathlessness sweating malaise phlegm fatigue high_fever chest_pain
Dimorphic hemmorhoids(piles), irritation_in_anus bloody_stool
Heart attack, chest_pain
Varicose veins, swollen_blood_vessels swollen_legs cramps obesity
Hypothyroidism, weight_gain mood_swings enlarged_thyroid cold_hands_and_feets abnormal_menstruation depression dizziness irritability lethargy fatigue
Hyperthyroidism, muscle_weakness excessive_hunger fatigue abnormal_menstruation mood_swings weight_loss fast_heart_rate restlessness
Hypoglycemia, blurred_and_distorted_vision anxiety drying_and_tingling_lips sweating headache nausea irritability slurred_speech excessive_hunger
Osteoarthristis, swelling_joints neck_pain hip_joint_pain
Arthritis, muscle_weakness movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, nausea vomiting unsteadiness
Acne, pus_filled_pimples
Urinary tract infection, burning_micturition
Psoriasis, silver_like_dusting inflammatory_nails small_dents_in_nails
Impetigo, red_sore_around_nose yellow_crust_ooze
Fungal infection, dischromic_patches
Allergy, shivering
GERD, chest_pain ulcers_on_tongue vomiting
Chronic cholestasis, yellowing_of_eyes abdominal_pain loss_of_appetite vomiting
Drug Reaction, skin_rash spotting_urination
Peptic ulcer diseae, passage_of_gases indigestion loss_of_appetite
AIDS, muscle_wasting
Diabetes , weight_loss lethargy increased_appetite restlessness blurred_and_distorted_vision polyuria excessive_hunger
Gastroenteritis, sunken_eyes
Bronchial Asthma, high_fever fatigue cough
Hypertension , lack_of_concentration chest_pain
Migraine, visual_disturbances depression indigestion headache blurred_and_distorted_vision acidity
Cervical spondylosis, back_pain weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, dark_urine weight_loss vomiting abdominal_pain fatigue
Malaria, nausea sweating high_fever vomiting diarrhoea
Chicken pox, mild_fever fatigue loss_of_appetite itching headache red_spots_over_body skin_rash malaise
Dengue, vomiting headache muscle_pain back_pain malaise high_fever chills red_spots_over_body pain_behind_the_eyes nausea joint_pain
Typhoid, chills diarrhoea vomiting abdominal_pain headache belly_pain high_fever toxic_look_(typhos)
hepatitis A, abdominal_pain diarrhoea mild_fever muscle_pain joint_pain yellowish_skin dark_urine yellowing_of_eyes
Hepatitis B, loss_of_appetite yellowish_skin malaise abdominal_pain dark_urine yellowing_of_eyes itching receiving_unsterile_injections yellow_urine
Hepatitis C, yellowing_of_eyes fatigue loss_of_appetite
Hepatitis D, loss_of_appetite fatigue joint_pain nausea abdominal_pain yellowing_of_eyes
Hepatitis E, yellowish_skin high_fever nausea coma yellowing_of_eyes stomach_bleeding abdominal_pain dark_urine vomiting acute_liver_failure
Alcoholic hepatitis, yellowish_skin vomiting swelling_of_stomach history_of_alcohol_consumption
Tuberculosis, sweating cough malaise swelled_lymph_nodes fatigue breathlessness mild_fever chest_pain blood_in_sputum high_fever loss_of_appetite weight_loss chills
Common Cold, malaise redness_of_eyes throat_irritation sinus_pressure cough swelled_lymph_nodes phlegm congestion continuous_sneezing chest_pain chills headache runny_nose muscle_pain
Pneumonia, rusty_sputum breathlessness cough high_fever chest_pain fast_heart_rate sweating phlegm
Dimorphic hemmorhoids(piles), pain_during_bowel_movements pain_in_anal_region
Heart attack, chest_pain
Varicose veins, fatigue obesity bruising swollen_legs
Hypothyroidism, puffy_face_and_eyes weight_gain dizziness swollen_extremeties depression lethargy mood_swings fatigue enlarged_thyroid brittle_nails
Hyperthyroidism, diarrhoea mood_swings muscle_weakness abnormal_menstruation sweating excessive_hunger restlessness fatigue
Hypoglycemia, nausea irritability palpitations slurred_speech fatigue sweating anxiety headache drying_and_tingling_lips
Osteoarthristis, knee_pain painful_walking swelling_joints
Arthritis, stiff_neck muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, spinning_movements vomiting nausea
Acne, scurring
Urinary tract infection, continuous_feel_of_urine
Psoriasis, silver_like_dusting skin_rash inflammatory_nails
Impetigo, red_sore_around_nose high_fever
Fungal infection, nodal_skin_eruptions
Allergy, watering_from_eyes
GERD, vomiting acidity stomach_pain
Chronic cholestasis, abdominal_pain yellowish_skin loss_of_appetite yellowing_of_eyes
Drug Reaction, spotting_urination skin_rash
Peptic ulcer diseae, loss_of_appetite passage_of_gases internal_itching
AIDS, high_fever
Diabetes , obesity excessive_hunger lethargy irregular_sugar_level blurred_and_distorted_vision increased_appetite restlessness
Gastroenteritis, dehydration
Bronchial Asthma, breathlessness fatigue high_fever
Hypertension , chest_pain headache
Migraine, depression indigestion acidity headache excessive_hunger irritability
Cervical spondylosis, weakness_in_limbs loss_of_balance
Paralysis (brain hemorrhage), vomiting
Jaundice, fatigue dark_urine abdominal_pain weight_loss high_fever
Malaria, nausea muscle_pain vomiting headache chills
Chicken pox, fatigue malaise mild_fever red_spots_over_body high_fever lethargy skin_rash itching
Dengue, skin_rash high_fever muscle_pain vomiting red_spots_over_body chills headache fatigue nausea joint_pain pain_behind_the_eyes
Typhoid, headache belly_pain fatigue vomiting constipation abdominal_pain high_fever chills
hepatitis A, muscle_pain loss_of_appetite joint_pain dark_urine vomiting yellowish_skin abdominal_pain mild_fever
Hepatitis B, loss_of_appetite lethargy yellowish_skin itching yellow_urine abdominal_pain fatigue receiving_blood_transfusion yellowing_of_eyes
Hepatitis C, nausea yellowing_of_eyes yellowish_skin
Hepatitis D, yellowing_of_eyes dark_urine fatigue nausea vomiting yellowish_skin
Hepatitis E, vomiting abdominal_pain acute_liver_failure stomach_bleeding loss_of_appetite joint_pain high_fever yellowing_of_eyes dark_urine nausea
Alcoholic hepatitis, fluid_overload abdominal_pain swelling_of_stomach distention_of_abdomen
Tuberculosis, chest_pain breathlessness mild_fever swelled_lymph_nodes chills fatigue yellowing_of_eyes vomiting sweating malaise high_fever weight_loss phlegm
Common Cold, chest_pain fatigue phlegm runny_nose sinus_pressure throat_irritation redness_of_eyes congestion continuous_sneezing high_fever loss_of_smell headache chills swelled_lymph_nodes
Pneumonia, chills high_fever rusty_sputum fatigue cough chest_pain fast_heart_rate phlegm
Dimorphic hemmorhoids(piles), constipation pain_in_anal_region
Heart attack, vomiting
Varicose veins, bruising cramps swollen_blood_vessels prominent_veins_on_calf
Hypothyroidism, abnormal_menstruation dizziness fatigue weight_gain enlarged_thyroid puffy_face_and_eyes brittle_nails swollen_extremeties lethargy depression
Hyperthyroidism, abnormal_menstruation weight_loss excessive_hunger mood_swings irritability muscle_weakness diarrhoea sweating
Hypoglycemia, slurred_speech palpitations drying_and_tingling_lips headache anxiety excessive_hunger vomiting irritability sweating
Osteoarthristis, swelling_joints neck_pain joint_pain
Arthritis, stiff_neck swelling_joints
(vertigo) Paroymsal  Positional Vertigo, spinning_movements nausea loss_of_balance
Acne, skin_rash
Urinary tract infection, foul_smell_ofurine
Psoriasis, joint_pain small_dents_in_nails skin_rash
Impetigo, skin_rash red_sore_around_nose
Fungal infection, nodal_skin_eruptions
Allergy, chills
GERD, cough acidity ulcers_on_tongue
Chronic cholestasis, abdominal_pain nausea yellowing_of_eyes itching
Drug Reaction, skin_rash burning_micturition
Peptic ulcer diseae, abdominal_pain internal_itching vomiting
AIDS, patches_in_throat
Diabetes , increased_appetite weight_loss obesity restlessness irregular_sugar_level excessive_hunger polyuria
Gastroenteritis, sunken_eyes
Bronchial Asthma, family_history cough mucoid_sputum
Hypertension , lack_of_concentration dizziness
Migraine, irritability indigestion depression visual_disturbances excessive_hunger headache
Cervical spondylosis, dizziness weakness_in_limbs
Paralysis (brain hemorrhage), altered_sensorium
Jaundice, high_fever yellowish_skin fatigue dark_urine weight_loss
Malaria, sweating headache muscle_pain nausea vomiting
Chicken pox, loss_of_appetite red_spots_over_body fatigue mild_fever itching skin_rash swelled_lymph_nodes malaise
Dengue, nausea chills joint_pain malaise pain_behind_the_eyes high_fever vomiting skin_rash muscle_pain red_spots_over_body headache
Typhoid, constipation fatigue nausea diarrhoea belly_pain chills abdominal_pain toxic_look_(typhos)
hepatitis A, joint_pain muscle_pain nausea vomiting yellowing_of_eyes yellowish_skin abdominal_pain dark_urine
Hepatitis B, receiving_blood_transfusion yellowish_skin loss_of_appetite malaise abdominal_pain dark_urine fatigue itching receiving_unsterile_injections
Hepatitis C, yellowish_skin family_history loss_of_appetite
Hepatitis D, vomiting dark_urine loss_of_appetite yellowish_skin yellowing_of_eyes joint_pain
Hepatitis E, fatigue vomiting yellowing_of_eyes abdominal_pain stomach_bleeding high_fever yellowish_skin dark_urine joint_pain loss_of_appetite
Alcoholic hepatitis, distention_of_abdomen vomiting abdominal_pain history_of_alcohol_consumption
Tuberculosis, weight_loss cough high_fever malaise mild_fever blood_in_sputum yellowing_of_eyes vomiting fatigue chills sweating phlegm breathlessness
Common Cold, fatigue chest_pain phlegm redness_of_eyes chills malaise runny_nose continuous_sneezing throat_irritation loss_of_smell muscle_pain swelled_lymph_nodes sinus_pressure headache
Pneumonia, sweating fast_heart_rate breathlessness phlegm cough fatigue chest_pain rusty_sputum
Dimorphic hemmorhoids(piles), pain_in_anal_region irritation_in_anus
Heart attack, vomiting
Varicose veins, swollen_legs bruising cramps fatigue
Hypothyroidism, dizziness depression weight_gain lethargy brittle_nails enlarged_thyroid cold_hands_and_feets swollen_extremeties puffy_face_and_eyes abnormal_menstruation
Hyperthyroidism, mood_swings weight_loss fatigue diarrhoea excessive_hunger abnormal_menstruation sweating muscle_weakness
Hypoglycemia, palpitations vomiting sweating excessive_hunger slurred_speech fatigue headache irritability blurred_and_distorted_vision
Osteoarthristis, knee_pain neck_pain swelling_joints
Arthritis, stiff_neck movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, spinning_movements headache nausea
Acne, blackheads
Urinary tract infection, burning_micturition
Psoriasis, skin_rash inflammatory_nails small_dents_in_nails
Impetigo, blister high_fever
Fungal infection, skin_rash
Allergy, shivering
GERD, chest_pain acidity stomach_pain
Chronic cholestasis, nausea abdominal_pain vomiting loss_of_appetite
Drug Reaction, skin_rash spotting_urination
Peptic ulcer diseae, passage_of_gases abdominal_pain indigestion
AIDS, muscle_wasting
Diabetes , fatigue irregular_sugar_level restlessness increased_appetite lethargy obesity blurred_and_distorted_vision
Gastroenteritis, dehydration
Bronchial Asthma, high_fever family_history mucoid_sputum
Hypertension , chest_pain dizziness
Migraine, visual_disturbances headache stiff_neck irritability depression excessive_hunger
Cervical spondylosis, weakness_in_limbs neck_pain
Paralysis (brain hemorrhage), vomiting
Jaundice, yellowish_skin weight_loss abdominal_pain fatigue itching
Malaria, sweating diarrhoea vomiting chills headache
Chicken pox, loss_of_appetite skin_rash fatigue high_fever itching red_spots_over_body headache malaise
Dengue, muscle_pain fatigue red_spots_over_body vomiting loss_of_appetite pain_behind_the_eyes nausea malaise high_fever joint_pain chills
Typhoid, nausea toxic_look_(typhos) high_fever abdominal_pain diarrhoea vomiting chills belly_pain
hepatitis A, yellowing_of_eyes abdominal_pain loss_of_appetite diarrhoea dark_urine yellowish_skin vomiting nausea
Hepatitis B, yellowing_of_eyes abdominal_pain receiving_blood_transfusion loss_of_appetite receiving_unsterile_injections dark_urine yellowish_skin fatigue malaise
Hepatitis C, yellowing_of_eyes yellowish_skin nausea
Hepatitis D, vomiting fatigue loss_of_appetite joint_pain yellowing_of_eyes abdominal_pain
Hepatitis E, dark_urine stomach_bleeding nausea loss_of_appetite abdominal_pain fatigue acute_liver_failure yellowing_of_eyes vomiting yellowish_skin
Alcoholic hepatitis, vomiting history_of_alcohol_consumption abdominal_pain fluid_overload
Tuberculosis, breathlessness yellowing_of_eyes weight_loss phlegm chest_pain blood_in_sputum mild_fever high_fever cough loss_of_appetite sweating vomiting fatigue
Common Cold, fatigue cough redness_of_eyes chills loss_of_smell sinus_pressure headache runny_nose swelled_lymph_nodes chest_pain phlegm continuous_sneezing malaise high_fever
Pneumonia, phlegm breathlessness high_fever chills fast_heart_rate malaise fatigue sweating
Dimorphic hemmorhoids(piles), constipation bloody_stool
Heart attack, vomiting
Varicose veins, fatigue prominent_veins_on_calf cramps swollen_blood_vessels
Hypothyroidism, lethargy dizziness depression irritability swollen_extremeties fatigue puffy_face_and_eyes abnormal_menstruation enlarged_thyroid mood_swings
Hyperthyroidism, mood_swings muscle_weakness weight_loss excessive_hunger irritability fast_heart_rate sweating fatigue
Hypoglycemia, excessive_hunger slurred_speech fatigue sweating nausea irritability anxiety headache blurred_and_distorted_vision
Osteoarthristis, joint_pain painful_walking hip_joint_pain
Arthritis, muscle_weakness stiff_neck
(vertigo) Paroymsal  Positional Vertigo, unsteadiness nausea headache
Acne, pus_filled_pimples
Urinary tract infection, bladder_discomfort
Psoriasis, skin_peeling joint_pain small_dents_in_nails
Impetigo, high_fever blister
Fungal infection, nodal_skin_eruptions
Allergy, watering_from_eyes
GERD, acidity chest_pain vomiting
Chronic cholestasis, loss_of_appetite yellowish_skin nausea abdominal_pain
Drug Reaction, itching stomach_pain
Peptic ulcer diseae, internal_itching passage_of_gases vomiting
AIDS, extra_marital_contacts
Diabetes , irregular_sugar_level fatigue obesity excessive_hunger polyuria lethargy weight_loss
Gastroenteritis, diarrhoea
Bronchial Asthma, breathlessness family_history fatigue
Hypertension , lack_of_concentration loss_of_balance
Migraine, depression excessive_hunger indigestion acidity irritability blurred_and_distorted_vision
Cervical spondylosis, loss_of_balance back_pain
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, vomiting fatigue high_fever abdominal_pain yellowish_skin
Malaria, vomiting high_fever muscle_pain diarrhoea sweating
Chicken pox, red_spots_over_body high_fever loss_of_appetite headache itching mild_fever malaise lethargy
Dengue, red_spots_over_body muscle_pain nausea high_fever malaise skin_rash pain_behind_the_eyes chills loss_of_appetite fatigue headache
Typhoid, diarrhoea headache fatigue constipation toxic_look_(typhos) abdominal_pain nausea chills
hepatitis A, vomiting joint_pain nausea diarrhoea abdominal_pain loss_of_appetite yellowing_of_eyes yellowish_skin
Hepatitis B, receiving_blood_transfusion yellowing_of_eyes dark_urine abdominal_pain lethargy receiving_unsterile_injections loss_of_appetite malaise fatigue
Hepatitis C, family_history fatigue yellowing_of_eyes
Hepatitis D, yellowish_skin nausea yellowing_of_eyes vomiting loss_of_appetite fatigue
Hepatitis E, dark_urine acute_liver_failure fatigue high_fever nausea yellowish_skin yellowing_of_eyes abdominal_pain joint_pain stomach_bleeding
Alcoholic hepatitis, history_of_alcohol_consumption fluid_overload abdominal_pain swelling_of_stomach
Tuberculosis, loss_of_appetite sweating high_fever vomiting cough mild_fever yellowing_of_eyes blood_in_sputum swelled_lymph_nodes phlegm weight_loss breathlessness chest_pain
Common Cold, cough muscle_pain loss_of_smell malaise continuous_sneezing high_fever swelled_lymph_nodes congestion runny_nose throat_irritation redness_of_eyes sinus_pressure chest_pain phlegm
Pneumonia, fatigue chills phlegm high_fever rusty_sputum malaise sweating cough
Dimorphic hemmorhoids(piles), pain_in_anal_region constipation
Heart attack, chest_pain
Varicose veins, swollen_blood_vessels obesity bruising swollen_legs
Hypothyroidism, depression cold_hands_and_feets abnormal_menstruation mood_swings irritability brittle_nails swollen_extremeties weight_gain fatigue lethargy
Hyperthyroidism, excessive_hunger abnormal_menstruation restlessness fatigue weight_loss fast_heart_rate mood_swings irritability
Hypoglycemia, blurred_and_distorted_vision irritability slurred_speech drying_and_tingling_lips excessive_hunger sweating headache palpitations vomiting
Osteoarthristis, knee_pain hip_joint_pain swelling_joints
Arthritis, stiff_neck movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, nausea headache unsteadiness
Acne, blackheads
Urinary tract infection, bladder_discomfort
Psoriasis, skin_rash joint_pain small_dents_in_nails
Impetigo, yellow_crust_ooze skin_rash
Fungal infection, itching
Allergy, continuous_sneezing
GERD, cough stomach_pain chest_pain
Chronic cholestasis, loss_of_appetite itching nausea abdominal_pain
Drug Reaction, spotting_urination burning_micturition
Peptic ulcer diseae, abdominal_pain loss_of_appetite vomiting
AIDS, patches_in_throat
Diabetes , weight_loss fatigue increased_appetite restlessness lethargy excessive_hunger irregular_sugar_level
Gastroenteritis, sunken_eyes
Bronchial Asthma, breathlessness high_fever cough
Hypertension , dizziness headache
Migraine, indigestion excessive_hunger visual_disturbances depression blurred_and_distorted_vision irritability
Cervical spondylosis, loss_of_balance weakness_in_limbs
Paralysis (brain hemorrhage), altered_sensorium
Jaundice, yellowish_skin high_fever vomiting fatigue abdominal_pain
Malaria, headache sweating vomiting chills high_fever
Chicken pox, headache itching red_spots_over_body fatigue malaise lethargy high_fever skin_rash
Dengue, vomiting muscle_pain headache nausea back_pain chills fatigue loss_of_appetite malaise red_spots_over_body joint_pain
Typhoid, belly_pain abdominal_pain vomiting toxic_look_(typhos) fatigue constipation high_fever headache
hepatitis A, dark_urine joint_pain nausea abdominal_pain diarrhoea mild_fever yellowing_of_eyes muscle_pain
Hepatitis B, yellowing_of_eyes receiving_blood_transfusion lethargy loss_of_appetite malaise receiving_unsterile_injections yellowish_skin dark_urine itching
Hepatitis C, yellowish_skin family_history loss_of_appetite
